name,slug,value_surplus_deficit_precent,date_of_information,ranking,region
Tuvalu,tuvalu,25.6,2013,1,Australia - Oceania
Macau,macau,10,2017,2,East Asia/Southeast Asia
Palau,palau,8.8,2016,3,Australia - Oceania
Micronesia-Federated-States-of,micronesia-federated-states-of,6.6,2012,4,Australia - Oceania
Greenland,greenland,5.6,2016,5,North America
Hong-Kong,hong-kong,5.2,2017,6,East Asia/Southeast Asia
Cayman-Islands,cayman-islands,4.8,2017,7,Central America
Norway,norway,4.4,2017,8,Europe
Malta,malta,3.9,2017,9,Europe
Saint-Pierre-and-Miquelon,saint-pierre-and-miquelon,3.8,1996,10,North America
Northern-Mariana-Islands,northern-mariana-islands,3.7,2016,11,Australia - Oceania
Grenada,grenada,3.2,2017,12,Central America
Cook-Islands,cook-islands,3,2010,13,Australia - Oceania
Belarus,belarus,2.9,2017,14,Europe
Bosnia-and-Herzegovina,bosnia-and-herzegovina,2.1,2017,15,Europe
Bulgaria,bulgaria,1.8,2017,16,Europe
Cyprus,cyprus,1.8,2017,17,Europe
Saint-Kitts-and-Nevis,saint-kitts-and-nevis,1.7,2017,18,Central America
Czechia,czechia,1.6,2017,19,Europe
Liechtenstein,liechtenstein,1.6,2012,20,Europe
New-Zealand,new-zealand,1.6,2017,21,Australia - Oceania
Iceland,iceland,1.5,2017,22,Europe
Luxembourg,luxembourg,1.5,2017,23,Europe
Korea-South,korea-south,1.4,2017,24,East Asia/Southeast Asia
Germany,germany,1.3,2017,25,Europe
Marshall-Islands,marshall-islands,1.3,2013,26,Australia - Oceania
Sweden,sweden,1.3,2017,27,Europe
French-Polynesia,french-polynesia,1.2,2012,28,Australia - Oceania
Guernsey,guernsey,1.2,2005,29,Europe
Denmark,denmark,1.1,2017,30,Europe
Gibraltar,gibraltar,1.1,2008,31,Europe
Netherlands,netherlands,1.1,2017,32,Europe
Switzerland,switzerland,1.1,2017,33,Europe
Anguilla,anguilla,0.9,2017,34,Central America
Croatia,croatia,0.8,2017,35,Europe
